period,profit,leaching,wetstart
6,0.2455681323781138,0.0018238407117562,0
6,0.2187747545770042,3.633230750892876e-05,1
6,0.2479655235418384,0.0080780139353283,1
6,0.2450496958742937,0.4762308460140191,1
6,0.2223156836174559,3.957785821062471e-06,1
6,0.23576208450398412,0.0,1
6,0.21813352137798842,0.0001469797945339,1
6,0.2404635836104541,0.0002865569923212,1
6,0.24068673855974151,0.0275056595408407,1
6,0.2417200623141366,0.0001479711946825,1
6,0.2442405194411944,0.1022720475745105,1
6,0.24007972239780892,0.8832366545174634,1
6,0.2504682118111617,0.0113610157545414,1
6,0.2421829366837075,4.284006284736239e-05,1
6,0.2474425512419276,0.1468578241217636,1
6,0.2460406087146569,0.0005791853896123,1
6,0.2485957882892694,0.008979984843664,1
6,0.2488951735511909,1.271168300348391,1
6,0.2231872237476948,0.0009088565383562,1
6,0.2110605944009484,0.0023722380984027,0
6,0.2495519423597561,0.0134437534344835,1
6,0.21775719511928332,0.0970319973681217,0
6,0.24896605410079428,0.0960638006243295,1
6,0.21140448664769979,0.0036261501523516,0
6,0.2327463713451132,0.0,1
6,0.2475916487124578,0.0134826240865009,1
6,0.2289686873824017,0.0188431950754775,1
6,0.24546228596286562,4.712048105754223,1
6,0.2191535089189206,0.0,0
6,0.2426221210339291,0.0,1
6,0.2435487236136007,6.914238699802524,0
6,0.2449221835028923,0.0003188842213535,0
6,0.2228701301718434,0.0051085553733219,1
6,0.2493408745290246,0.3471142508928164,1
6,0.2427097696717479,0.3836847311414593,1
6,0.2197907769015507,0.0017927651875436,1
6,0.2465572563260297,0.0161932741283057,1
6,0.2489817643698668,1.5512643108293551,1
6,0.24106668459529662,0.1886261467545696,0
6,0.2498059564329294,0.0010613150352468,1
6,0.2496216949991392,1.1798058364451478,1
6,0.22714220216932518,5.295212038740821e-06,0
6,0.2378346521910521,0.0,1
6,0.2225916951565772,0.0,1
6,0.2396181609600641,0.0,1
6,0.24742462003931212,0.9108575545463764,1
6,0.2244917981138938,0.0,0
6,0.2437927657775956,0.0023962909058825,1
6,0.23522389213382108,0.0003127251493651,1
6,0.2483626385404747,0.2752053562672726,1
6,0.2456080341424669,0.0474703682684706,1
6,0.2390850576840191,0.0,1
6,0.1898017841790883,3.0475818002578876e-05,1
6,0.241080874386667,0.0479911702694834,0
6,0.24519053538701002,0.0013509429514369,1
6,0.2374695750026379,5.208322602642748,0
6,0.2307194484715506,2.6024997057547023e-06,1
6,0.2455056955869247,0.0,1
6,0.2472260890327132,1.8844651053757704,1
6,0.250371041275969,2.421148314882419,1
6,0.2438348606448733,0.0377903286695116,1
6,0.2360546026136267,0.0,1
6,0.21100270946065808,0.0,0
6,0.23906820855135,0.0,1
6,0.2405428470519988,0.0009486765677028,1
6,0.2450008846492142,0.0519489221254045,1
6,0.2502733508744874,0.0321570098239894,1
6,0.2427267828309068,2.308177689935812,1
6,0.21946286862116668,0.0004470762910891,1
6,0.2500067024082532,0.0020134568551995,1
6,0.2402837297393478,0.0030792250958874,1
6,0.2404429732476737,0.0017495718908387,1
6,0.2508482503907346,4.001334807522627,1
6,0.2501593647352267,0.0042324681747506,1
