control_period,penalty,parameters_idx,deficit_cost,total_leaching_gN_per_m2,violated
3.0,0.20126710688876742,195.0,3.8080755710403246e-05,0.02076055781833168,1.0
3.0,0.20126710688876742,196.0,0.0003974756660244796,0.003940562279969336,1.0
3.0,0.20126710688876742,197.0,0.0008970185723379813,0.0021148933398601267,1.0
3.0,0.20126710688876742,198.0,2.2214489899083575e-06,0.0475903326169872,1.0
3.0,0.20126710688876742,199.0,0.0004917633801648915,0.012915339497054997,1.0
3.0,0.20126710688876742,200.0,0.0003024745766786313,0.035442007626056274,1.0
3.0,0.20126710688876742,201.0,0.004138134530304085,0.0,0.0
3.0,0.20126710688876742,202.0,0.0045104930526132965,0.0,0.0
3.0,0.20126710688876742,203.0,0.000817072608633114,0.04461273516802378,1.0
3.0,0.20126710688876742,204.0,0.001020886667666126,5.3006720586862444e-05,1.0
3.0,0.20126710688876742,205.0,0.00476443410853451,0.0,0.0
3.0,0.20126710688876742,206.0,0.0004632242038451962,1.998792658553452,1.0
3.0,0.20126710688876742,207.0,0.004425174481322774,0.0,0.0
3.0,0.20126710688876742,208.0,0.00046552926957250685,0.08946307615717022,1.0
3.0,0.20126710688876742,209.0,0.0,0.19532263997813368,1.0
3.0,0.20126710688876742,210.0,0.0003648504032079845,2.7221019930676595e-05,1.0
3.0,0.20126710688876742,211.0,0.0022579469675758955,2.545206344976848,1.0
3.0,0.20126710688876742,212.0,0.00041923900093112303,4.7952564367946815,1.0
3.0,0.20126710688876742,213.0,0.0043445337067458956,0.0,0.0
3.0,0.20126710688876742,214.0,0.0018998638978405052,0.0007132154634235461,0.0
3.0,0.20126710688876742,215.0,0.00935930348818672,0.00030226932500806715,0.0
3.0,0.20126710688876742,216.0,0.00042017489851620257,0.00021157458618117325,1.0
3.0,0.20126710688876742,217.0,0.001141273283581825,4.531398233711392,1.0
3.0,0.20126710688876742,218.0,0.0014173940052551485,0.022656561779436667,1.0
3.0,0.20126710688876742,219.0,0.010690650280488522,0.0,0.0
3.0,0.20126710688876742,220.0,0.0067048811987759915,0.0023144666451335567,0.0
3.0,0.20126710688876742,221.0,0.0004405228915012247,0.4109161407513979,1.0
3.0,0.20126710688876742,222.0,0.0006726118715002066,0.008752981325732637,1.0
3.0,0.20126710688876742,223.0,0.000264684399146418,0.03571261219490012,1.0
3.0,0.20126710688876742,224.0,0.0001144535754321073,0.00015810391371435457,1.0
3.0,0.20126710688876742,225.0,0.006607087787156525,0.0,0.0
3.0,0.20126710688876742,226.0,0.0008564816845592402,1.2259604730421756,1.0
3.0,0.20126710688876742,227.0,0.0038313847522760507,1.6690195622829026e-05,0.0
3.0,0.20126710688876742,228.0,0.0006683753670389649,0.10516426411262463,1.0
3.0,0.20126710688876742,229.0,0.0008669483572686383,0.00036241697077846695,1.0
3.0,0.20126710688876742,230.0,0.00019944962819525494,0.0010293208182120795,1.0
3.0,0.20126710688876742,231.0,0.006720544973932858,4.277408754970803e-05,0.0
3.0,0.20126710688876742,232.0,0.004572922532653576,0.0,0.0
3.0,0.20126710688876742,233.0,0.004184035874564862,0.0013482631733279873,0.0
3.0,0.20126710688876742,234.0,0.0009879672070141259,0.0002653968578492326,1.0
3.0,0.20126710688876742,235.0,0.004030073637261602,0.008798376728590724,0.0
3.0,0.20126710688876742,236.0,0.004111276425086128,2.0744889007319827e-05,0.0
3.0,0.20126710688876742,237.0,0.0012804120095589533,3.523183768536159,1.0
3.0,0.20126710688876742,238.0,0.0011744770707532647,1.7060090803024357e-05,1.0
3.0,0.20126710688876742,239.0,0.004638084924915514,0.0,0.0
3.0,0.20126710688876742,240.0,0.00061395248561742,0.002268041209731349,1.0
3.0,0.20126710688876742,241.0,0.004252569590191982,0.0013042515583501883,0.0
3.0,0.20126710688876742,242.0,0.001845278212419052,0.28112976321343736,1.0
3.0,0.20126710688876742,243.0,0.0006994789536881669,0.0003264897368485196,1.0
3.0,0.20126710688876742,244.0,0.004454045475155878,0.0,0.0
3.0,0.20126710688876742,245.0,0.010392448935654174,0.0,0.0
3.0,0.20126710688876742,246.0,0.003985355219220995,9.09764169532231e-06,0.0
3.0,0.20126710688876742,247.0,0.0021852737475203804,0.019817854233423433,0.0
3.0,0.20126710688876742,248.0,0.0005022307250705112,0.023171701735632492,1.0
3.0,0.20126710688876742,249.0,0.001336857019824865,0.008687437852257715,1.0
3.0,0.20126710688876742,250.0,0.004484885197980992,0.0,0.0
3.0,0.20126710688876742,251.0,0.003115703550264744,0.3209468496809221,1.0
3.0,0.20126710688876742,252.0,0.0008704658683529454,0.009789285022266296,1.0
3.0,0.20126710688876742,253.0,0.006655469815729474,0.009602733014367303,0.0
3.0,0.20126710688876742,254.0,0.0009710776911673708,0.15382337012981107,1.0
3.0,0.20126710688876742,255.0,0.004486381936965949,0.0,0.0
3.0,0.20126710688876742,256.0,0.001078141850648613,6.035871608900697e-05,1.0
3.0,0.20126710688876742,257.0,2.687462278493912e-05,0.14968931413369838,1.0
3.0,0.20126710688876742,258.0,0.002072236297698827,2.2938700074644444e-05,0.0
3.0,0.20126710688876742,259.0,0.006679551633289964,2.388259050793467e-06,0.0
3.0,0.20126710688876742,260.0,0.00429940073863943,0.0,0.0
3.0,0.20126710688876742,261.0,0.0006185760112004285,5.041047015002623e-05,1.0
